Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price_trans,Total_Cost,Product_Name,Product_Price_prod,Company_Name,Company_Profit,Address,Year,Month,Day,DayOfWeek,DayOfYear,Quarter,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,DaysSinceStart,Customer_TotalTransactions,Customer_TotalSpending,Customer_AvgSpending,Customer_StdSpending,Customer_MinSpending,Customer_MaxSpending,Customer_TotalQuantity,Customer_AvgQuantity,Customer_StdQuantity,Customer_MinQuantity,Customer_MaxQuantity,Customer_UniqueProducts,Customer_FirstPurchaseDay,Customer_LastPurchaseDay,Customer_AvgDaysBetweenPurchases,Customer_DaysSinceLastPurchase,Product_TotalSales,Product_TotalRevenue,Product_AvgRevenue,Product_StdRevenue,Product_TotalQuantitySold,Product_AvgQuantity,Product_StdQuantity,Product_UniqueCustomers,Product_PopularityRank,Product_MarketShare,PricePerUnit,DiscountAmount,DiscountPercentage,SpendingVsProfitRatio,RelativePurchaseSize,RelativeQuantity,CustomerProductAffinity,CustomerLoyaltyScore,CustomerProduct_Count,ProductPenetrationRate,IsHighValueTransaction,IsBulkPurchase,Season_Encoded
1,88,6,10.0,2024-03-26,194379.15,1075200.0,RevenueVue Dashboard,179200,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines",2024,3,26,1,86,1,13,0,0,0,0,0,1536,63,93464000.0,1483555.5555555555,946294.3335637,112000.0,3724000.0,713.0,11.317460317460318,5.384641830199008,2.0,21.0,18,293,1752,23.158730158730158,43,368,687321600.0,1867721.7391304348,950543.3625010421,3910.0,10.625,5.2755799557214385,88,1.0,6.325197662426952,107520.0,-15179.149999999994,0.0,1230.5990783410139,0.7247453565008988,0.8835904628330995,0.5756746186937818,1.4318181818181819,6,9.523809523809524,0,0,0
2,29,19,16.0,2024-07-09,97930.99,1428000.0,EcoNomix Modeler,95200,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines",2024,7,9,1,191,3,28,0,0,0,0,0,1641,49,83479200.0,1703657.142857143,930770.3332902985,84000.0,4480000.0,588.0,12.0,5.23609269080167,1.0,20.0,16,295,1761,29.918367346938776,34,324,329789600.0,1017869.1358024691,537376.6164422691,3386.0,10.450617283950617,5.520075905988403,89,5.0,5.5689240288759025,89250.0,-2730.9900000000052,0.0,1347.4819214876034,0.8381968202857717,1.3333333333333333,1.4029308383284373,1.4,3,6.122448979591836,0,1,1
4,85,12,12.0,2023-09-06,130556.44,1008000.0,BudgetMaster Pro,84000,Green Ventures 85,113470.0,"EDSA, Barangay 707, Cebu City, Philippines",2023,9,6,2,249,3,36,0,0,0,0,0,1334,77,107783200.0,1399781.8181818181,827223.4714817603,156800.0,3808000.0,802.0,10.415584415584416,4.74993254619875,1.0,21.0,18,298,1718,18.441558441558442,77,309,287700000.0,931067.9611650485,469496.5097197331,3270.0,10.58252427184466,5.387318451778213,85,12.0,5.3111034719834995,84000.0,-46556.44,0.0,949.8827884022209,0.7201122252818621,1.1521197007481296,1.0826277372262774,0.9871794871794872,7,9.090909090909092,0,0,1
5,47,3,8.0,2021-07-06,99575.61,705600.0,TrendWise Forecaster,100800,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines",2021,7,6,1,187,3,27,0,0,0,0,0,542,42,51060800.0,1215733.3333333333,755029.4281671238,100800.0,3584000.0,435.0,10.357142857142858,5.24437644725829,1.0,21.0,16,335,1762,33.976190476190474,33,334,360931200.0,1080632.3353293412,546497.9345476067,3392.0,10.155688622754491,5.436475682157788,84,4.0,5.740804400137504,88200.0,1224.3899999999994,1.2146726190476185,1640.2441374879538,0.5803904364992323,0.7724137931034483,0.6529510333271272,1.2352941176470589,5,11.904761904761903,0,0,1
6,80,11,4.0,2021-07-12,160658.68,627200.0,OptiFlow Automation,156800,Green  Partners  80,111227.0,"Commonwealth Ave, Barangay 202, Manila, Philippines",2021,7,12,0,193,3,28,0,0,0,0,0,548,79,116088000.0,1469468.3544303798,814078.1635036104,168000.0,3920000.0,869.0,11.0,5.500582719713454,1.0,21.0,18,31,1742,21.658227848101266,53,345,588313600.0,1705256.8115942029,853435.341358289,3850.0,11.159420289855072,5.3619655054433,88,2.0,5.929872808525266,156800.0,-3858.679999999993,0.0,1043.7034173357188,0.4268210323203087,0.36363636363636365,0.3678038379530917,1.462962962962963,6,7.59493670886076,0,0,1
8,21,20,7.0,2023-10-31,229217.94,1792000.0,FinSphere Intelligence Suite,224000,Dynamic Enterprises 21,74653.0,"Ortigas Ave, Barangay 707, Davao City, Philippines",2023,10,31,1,304,4,44,0,0,1,0,0,1389,74,112700000.0,1522972.972972973,912094.2274828181,89600.0,4256000.0,784.0,10.594594594594595,5.583534793685729,1.0,21.0,17,292,1734,19.486486486486488,61,335,794080000.0,2370388.0597014925,1284999.9761786608,3676.0,10.973134328358208,5.491626235410308,88,3.0,5.757992437263665,256000.0,-5217.940000000002,0.0,1509.6513201076982,1.1766459627329193,0.6607142857142857,0.7559943582510579,1.1935483870967742,6,8.108108108108109,0,0,1
9,96,1,14.0,2024-02-25,144758.78,1344000.0,FinPredictor Suite,140000,Dynamic  Network  96,101428.0,"Alabang-Zapote Rd, Brgy. 456, Cebu City, Philippines",2024,2,25,6,56,1,8,1,0,0,0,0,1506,66,90781600.0,1375478.7878787878,735891.838104811,190400.0,3136000.0,687.0,10.409090909090908,5.241776776649668,2.0,20.0,18,32,1709,25.40909090909091,86,317,450828000.0,1422170.3470031547,707621.7496023721,3182.0,10.037854889589905,5.1187004325430925,87,9.0,5.448607768992781,96000.0,-4758.779999999999,0.0,895.0349016050794,0.9771143051014743,1.3449781659388647,0.9450344699087012,0.7586206896551724,8,12.121212121212121,0,0,0
10,3,20,6.0,2021-03-29,238293.85,1120000.0,FinSphere Intelligence Suite,224000,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",2021,3,29,0,88,1,13,0,0,0,0,0,443,63,90479200.0,1436177.7777777778,910081.1896508314,84000.0,3724000.0,681.0,10.80952380952381,5.180164223505706,1.0,20.0,17,308,1789,23.50793650793651,6,335,794080000.0,2370388.0597014925,1284999.9761786608,3676.0,10.973134328358208,5.491626235410308,88,3.0,5.757992437263665,186666.66666666666,-14293.850000000006,0.0,817.6028338032241,0.7798477440118834,0.5550660792951542,0.47249647390691113,9.0,2,3.1746031746031744,0,0,0
15,66,12,17.0,2023-03-22,79380.52,1428000.0,BudgetMaster Pro,84000,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines",2023,3,22,2,81,1,12,0,0,0,0,0,1166,78,117908000.0,1511641.0256410257,834553.6599177138,190400.0,4256000.0,873.0,11.192307692307692,5.05568393592203,1.0,21.0,17,295,1749,18.641025641025642,46,309,287700000.0,931067.9611650485,469496.5097197331,3270.0,10.58252427184466,5.387318451778213,85,12.0,5.3111034719834995,84000.0,4619.479999999996,5.499380952380947,1186.42396433926,0.9446687247684635,1.5189003436426118,1.5337226277372262,1.6595744680851063,4,5.128205128205128,0,1,0
16,43,7,1.0,2023-07-24,130556.44,302400.0,DataBridge Integration Tool,151200,Quantum Network 43,113336.0,"Ortigas Ave, Barangay 404, Cebu City, Philippines",2023,7,24,0,205,3,30,0,0,0,0,0,1290,59,83580000.0,1416610.1694915255,853349.9855427626,168000.0,3920000.0,642.0,10.88135593220339,5.226209629862347,1.0,21.0,18,311,1746,24.322033898305083,49,311,483991200.0,1556241.800643087,831648.5605004999,3256.0,10.469453376205788,5.367602879124025,86,11.0,5.34547954623582,302400.0,20643.559999999998,13.653148148148148,737.4532363944378,0.21346733668341708,0.09190031152647976,0.19431427678850358,1.18,1,1.694915254237288,0,0,1
