Product_ID,Product_Name,Product_Price
1,FinPredictor Suite,140000
2,MarketMinder Analytics,168000
3,TrendWise Forecaster,100800
4,CustomerScope Insights,123200
5,SalesSync Optimizer,84000
6,RevenueVue Dashboard,179200
7,DataBridge Integration Tool,151200
9,Product 9,112000
10,SegmentX Targeting,89600
11,OptiFlow Automation,156800
12,BudgetMaster Pro,84000
13,ForecastXcelerator ,196000
14,InsightMax Insights Platform,128800
15,NexGen Segmentator,100800
17,RealTime Revenue,168000
18,DashSync Analytics Hub,134400
19,EcoNomix Modeler,95200
20,FinSphere Intelligence Suite,224000
