Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost
1.0,88.0,6.0,10.0,2024/03/26,194379.14796406127,1075200.0
2.0,29.0,19.0,16.0,"July 09, 2024",97930.9933803618,1428000.0
4.0,85.0,12.0,12.0,09-06-2023,130556.4424322993,1008000.0
5.0,47.0,3.0,8.0,07/06/2021,99575.60963363378,705600.0
6.0,80.0,11.0,4.0,2021/07/12,160658.67535045007,627200.0
8.0,21.0,20.0,7.0,"October 31, 2023",229217.9414680993,1792000.0
9.0,96.0,1.0,14.0,25-02-2024,144758.78325409137,1344000.0
10.0,3.0,20.0,6.0,29-03-2021,238293.8513034097,1120000.0
11.0,6.0,16.0,6.0,01/12/2024,98263.85040103912,532000.0
14.0,36.0,1.0,4.0,22-03-2023,141186.03640865185,560000.0
15.0,66.0,12.0,17.0,22-03-2023,79380.52059221058,1428000.0
16.0,43.0,7.0,1.0,"July 24, 2023",130556.4424322993,302400.0
17.0,27.0,12.0,16.0,09/27/2022,85093.63619248601,1428000.0
19.0,76.0,3.0,19.0,"August 04, 2022",106544.97925907635,1814400.0
20.0,52.0,20.0,10.0,19-06-2022,222889.9229549203,3808000.0
21.0,88.0,13.0,10.0,2024/09/08,210759.8014489568,392000.0
23.0,46.0,17.0,10.0,"April 20, 2023",160605.71063159578,1176000.0
24.0,70.0,1.0,19.0,2021/05/03,145162.09735915158,2660000.0
25.0,79.0,19.0,3.0,03/24/2023,102391.22712875452,190400.0
28.0,3.0,19.0,10.0,28-06-2023,103377.92636864162,952000.0
29.0,24.0,11.0,5.0,24-10-2022,142284.83462551606,1344000.0
30.0,100.0,9.0,10.0,"April 20, 2023",107914.37933409296,1232000.0
31.0,16.0,16.0,20.0,30-12-2023,109347.01750389877,2021600.0
32.0,23.0,7.0,10.0,10/10/2022,158091.28746141505,151200.0
33.0,8.0,20.0,10.0,10-01-2021,241093.1443694232,2016000.0
34.0,92.0,8.0,11.0,2024/02/27,141578.710505847,1814400.0
35.0,49.0,19.0,6.0,"May 23, 2022",130556.4424322993,476000.0
36.0,71.0,20.0,3.0,2022/05/19,130556.4424322993,896000.0
38.0,67.0,2.0,13.0,2024/08/05,184039.0226478925,2016000.0
