Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost,Product_TargetEncoded
1,88,6,10.0,2024-03-26,194379.15,1075200.0,1856597.2982952015
2,29,19,16.0,2024-07-09,97930.99,1428000.0,1030723.8884897787
4,85,12,12.0,2023-09-06,130556.44,1008000.0,947248.2092651601
5,47,3,8.0,2021-07-06,99575.61,705600.0,1091288.8917313549
6,80,11,4.0,2021-07-12,160658.68,627200.0,1697988.1091706653
8,21,20,7.0,2023-10-31,229217.94,1792000.0,2343629.50363938
9,96,1,14.0,2024-02-25,144758.78,1344000.0,1422936.3264696824
10,3,20,6.0,2021-03-29,238293.85,1120000.0,2343629.50363938
15,66,12,17.0,2023-03-22,79380.52,1428000.0,947248.2092651601
16,43,7,1.0,2023-07-24,130556.44,302400.0,1552845.4166840687
17,27,12,16.0,2022-09-27,85093.64,1428000.0,947248.2092651601
19,76,3,19.0,2022-08-04,106544.98,1814400.0,1091288.8917313549
21,88,13,10.0,2024-09-08,210759.8,392000.0,2013179.87463704
23,46,17,10.0,2023-04-20,160605.71,1176000.0,1786018.55482158
24,70,1,19.0,2021-05-03,145162.1,2660000.0,1422936.3264696824
25,79,19,3.0,2023-03-24,102391.23,190400.0,1030723.8884897787
28,3,19,10.0,2023-06-28,103377.93,952000.0,1030723.8884897787
29,24,11,5.0,2022-10-24,142284.83,1344000.0,1697988.1091706653
30,100,9,10.0,2023-04-20,107914.38,1232000.0,1231093.5428941457
32,23,7,10.0,2022-10-10,158091.29,151200.0,1552845.4166840687
35,49,19,6.0,2022-05-23,130556.44,476000.0,1030723.8884897787
36,71,20,3.0,2022-05-19,130556.44,896000.0,2343629.50363938
38,67,2,13.0,2024-08-05,184039.02,2016000.0,1768865.4016684268
39,20,1,12.0,2024-05-22,148830.09,1820000.0,1422936.3264696824
40,50,11,19.0,2023-08-23,160414.89,3136000.0,1697988.1091706653
41,60,11,15.0,2023-09-18,151951.2,2352000.0,1697988.1091706653
43,91,6,13.0,2022-10-31,187921.97,2150400.0,1856597.2982952015
44,87,13,11.0,2021-08-05,130556.44,1960000.0,2013179.87463704
46,78,6,3.0,2024-05-09,177269.01,1344000.0,1856597.2982952015
47,50,18,11.0,2024-03-14,141498.9,1478400.0,1476186.311936799
48,92,19,9.0,2023-04-25,104674.1,761600.0,1030723.8884897787
49,60,9,6.0,2021-03-29,113616.11,1344000.0,1231093.5428941457
51,27,2,19.0,2024-08-04,169702.41,3024000.0,1768865.4016684268
52,39,10,7.0,2020-12-21,95132.48,537600.0,990852.1884552134
54,19,10,10.0,2023-08-24,130556.44,896000.0,990852.1884552134
55,100,19,19.0,2021-03-18,87600.32,1713600.0,1030723.8884897787
57,76,1,3.0,2022-06-11,141752.79,1344000.0,1422936.3264696824
59,54,1,10.0,2021-07-19,140359.08,1344000.0,1422936.3264696824
61,71,7,15.0,2021-11-10,161848.41,2116800.0,1552845.4166840687
62,30,2,7.0,2024-01-01,154604.61,1008000.0,1768865.4016684268
63,95,17,16.0,2021-08-03,160744.74,2520000.0,1786018.55482158
65,5,2,3.0,2022-12-21,170103.5,504000.0,1768865.4016684268
67,73,11,10.0,2021-06-01,166372.26,784000.0,1697988.1091706653
69,63,6,18.0,2023-04-19,191865.88,3225600.0,1856597.2982952015
71,48,13,18.0,2020-11-16,130556.44,3332000.0,2013179.87463704
72,48,15,16.0,2022-03-14,103000.74,1612800.0,1071302.3598654123
74,44,17,5.0,2022-05-09,156408.65,840000.0,1786018.55482158
75,51,3,4.0,2024-02-12,102820.94,504000.0,1091288.8917313549
76,12,2,5.0,2023-03-02,175224.47,1008000.0,1768865.4016684268
77,17,4,9.0,2022-02-26,134913.47,1232000.0,1355563.5104012336
78,85,14,10.0,2021-11-13,131147.89,515200.0,1360495.6962722675
79,66,4,10.0,2023-09-14,112998.06,1344000.0,1355563.5104012336
